,Element,Line,Type,Energy
371,Sr,La2,Emission Line,1804.0
372,Sr,La1,Emission Line,1805.8
346,Rb,Lb4,Emission Line,1816.3
1388,Pb,Mz,Emission Line,1824.1
347,Rb,Lb3,Emission Line,1825.9
1115,Lu,Mg,Emission Line,1827.7
47,Si,Kb1,Emission Line,1837.0
46,Si,Kb3,Emission Line,1837.0
1189,W,Mb,Emission Line,1838.4
1214,Re,Ma,Emission Line,1840.1
369,Sr,Lb1,Emission Line,1871.0
404,Zr,Ln,Emission Line,1876.7
1414,Bi,Mz,Emission Line,1882.8
1139,Hf,Mg,Emission Line,1895.5
373,Sr,Lb6,Emission Line,1901.1
424,Nb,Ll,Emission Line,1904.4
1213,Re,Mb,Emission Line,1906.1
1238,Os,Ma,Emission Line,1906.6
331,Kr,Lg3,Emission Line,1906.9
330,Kr,Lg2,Emission Line,1906.9
389,Y,La2,Emission Line,1922.3
390,Y,La1,Emission Line,1924.2
364,Sr,Lb4,Emission Line,1935.7
365,Sr,Lb3,Emission Line,1946.0
1440,Po,Mz,Emission Line,1947.0
52,P,Ka3,Emission Line,1956.5
1163,Ta,Mg,Emission Line,1967.6
1262,Ir,Ma,Emission Line,1976.2
1237,Os,Mb,Emission Line,1977.6
387,Y,Lb1,Emission Line,1998.3
422,Nb,Ln,Emission Line,1998.4
53,P,Ka2,Emission Line,2009.5
54,P,Ka1,Emission Line,2010.5
442,Mo,Ll,Emission Line,2013.7
1466,At,Mz,Emission Line,2023.0
391,Y,Lb6,Emission Line,2036.2
1187,W,Mg,Emission Line,2037.5
407,Zr,La2,Emission Line,2041.9
408,Zr,La1,Emission Line,2044.2
1286,Pt,Ma,Emission Line,2047.5
348,Rb,Lg2,Emission Line,2048.7
349,Rb,Lg3,Emission Line,2049.7
1261,Ir,Mb,Emission Line,2052.2
382,Y,Lb4,Emission Line,2062.4
383,Y,Lb3,Emission Line,2074.2
1492,Rn,Mz,Emission Line,2093.0
1211,Re,Mg,Emission Line,2106.5
1312,Au,Ma,Emission Line,2118.4
440,Mo,Ln,Emission Line,2118.7
405,Zr,Lb1,Emission Line,2125.9
1285,Pt,Mb,Emission Line,2127.5
460,Tc,Ll,Emission Line,2133.0
55,P,Kb3,Emission Line,2138.5
56,P,Kb1,Emission Line,2139.5
1518,Fr,Mz,Emission Line,2156.0
425,Nb,La2,Emission Line,2166.0
426,Nb,La1,Emission Line,2168.7
409,Zr,Lb6,Emission Line,2172.4
1235,Os,Mg,Emission Line,2178.5
400,Zr,Lb4,Emission Line,2188.5
1544,Ra,Mz,Emission Line,2190.0
1338,Hg,Ma,Emission Line,2191.0
366,Sr,Lg2,Emission Line,2194.4
367,Sr,Lg3,Emission Line,2195.9
401,Zr,Lb3,Emission Line,2202.2
1311,Au,Mb,Emission Line,2203.4
61,S,Ka3,Emission Line,2241.1
458,Tc,Ln,Emission Line,2249.0
478,Ru,Ll,Emission Line,2251.9
1259,Ir,Mg,Emission Line,2254.7
423,Nb,Lb1,Emission Line,2260.0
1364,Tl,Ma,Emission Line,2266.8
1337,Hg,Mb,Emission Line,2281.0
443,Mo,La2,Emission Line,2288.9
1570,Ac,Mz,Emission Line,2290.0
444,Mo,La1,Emission Line,2292.1
62,S,Ka2,Emission Line,2308.4
63,S,Ka1,Emission Line,2309.5
427,Nb,Lb6,Emission Line,2314.6
418,Nb,Lb4,Emission Line,2321.9
1596,Th,Mz,Emission Line,2323.0
1283,Pt,Mg,Emission Line,2330.4
419,Nb,Lb3,Emission Line,2337.4
1390,Pb,Ma,Emission Line,2342.3
384,Y,Lg2,Emission Line,2348.6
385,Y,Lg3,Emission Line,2349.9
1363,Tl,Mb,Emission Line,2362.8
498,Rh,Ll,Emission Line,2375.9
476,Ru,Ln,Emission Line,2380.9
1622,Pa,Mz,Emission Line,2387.0
441,Mo,Lb1,Emission Line,2393.9
1309,Au,Mg,Emission Line,2407.9
1416,Bi,Ma,Emission Line,2417.7
461,Tc,La2,Emission Line,2419.4
462,Tc,La1,Emission Line,2423.1
1389,Pb,Mb,Emission Line,2444.3
436,Mo,Lb4,Emission Line,2454.4
445,Mo,Lb6,Emission Line,2456.8
1648,U,Mz,Emission Line,2457.0
64,S,Kb3,Emission Line,2464.0
65,S,Kb1,Emission Line,2465.0
437,Mo,Lb3,Emission Line,2472.0
1335,Hg,Mg,Emission Line,2488.2
1442,Po,Ma,Emission Line,2499.0
520,Pd,Ll,Emission Line,2501.4
402,Zr,Lg2,Emission Line,2503.5
403,Zr,Lg3,Emission Line,2504.9
495,Rh,Ln,Emission Line,2517.9
1674,Np,Mz,Emission Line,2521.0
1415,Bi,Mb,Emission Line,2525.7
459,Tc,Lb1,Emission Line,2535.4
70,Cl,Ka3,Emission Line,2552.0
479,Ru,La2,Emission Line,2553.8
480,Ru,La1,Emission Line,2558.0
1361,Tl,Mg,Emission Line,2572.0
1468,At,Ma,Emission Line,2577.0
1700,Pu,Mz,Emission Line,2590.0
454,Tc,Lb4,Emission Line,2595.4
463,Tc,Lb6,Emission Line,2607.5
1441,Po,Mb,Emission Line,2614.0
71,Cl,Ka2,Emission Line,2620.0
72,Cl,Ka1,Emission Line,2622.0
455,Tc,Lb3,Emission Line,2625.3
542,Ag,Ll,Emission Line,2632.0
1387,Pb,Mg,Emission Line,2653.8
1494,Rn,Ma,Emission Line,2654.0
1726,Am,Mz,Emission Line,2658.0
517,Pd,Ln,Emission Line,2658.4
420,Nb,Lg2,Emission Line,2665.4
421,Nb,Lg3,Emission Line,2667.2
477,Ru,Lb1,Emission Line,2682.8
499,Rh,La2,Emission Line,2692.1
500,Rh,La1,Emission Line,2696.8
1467,At,Mb,Emission Line,2699.0
1752,Cm,Mz,Emission Line,2726.0
1520,Fr,Ma,Emission Line,2732.0
1413,Bi,Mg,Emission Line,2736.9
472,Ru,Lb4,Emission Line,2740.7
473,Ru,Lb3,Emission Line,2762.5
481,Ru,Lb6,Emission Line,2763.0
564,Cd,Ll,Emission Line,2766.0
1493,Rn,Mb,Emission Line,2784.0
1778,Bk,Mz,Emission Line,2795.0
539,Ag,Ln,Emission Line,2805.0
1546,Ra,Ma,Emission Line,2806.0
74,Cl,Kb1,Emission Line,2812.0
73,Cl,Kb3,Emission Line,2812.0
438,Mo,Lg2,Emission Line,2828.4
1439,Po,Mg,Emission Line,2829.0
439,Mo,Lg3,Emission Line,2830.5
521,Pd,La2,Emission Line,2832.5
496,Rh,Lb1,Emission Line,2834.1
522,Pd,La1,Emission Line,2837.8
1804,Cf,Mz,Emission Line,2864.0
1519,Fr,Mb,Emission Line,2868.0
79,Ar,Ka3,Emission Line,2879.6
491,Rh,Lb4,Emission Line,2890.7
1572,Ac,Ma,Emission Line,2900.0
586,In,Ll,Emission Line,2902.8
492,Rh,Lb3,Emission Line,2915.5
1465,At,Mg,Emission Line,2919.0
501,Rh,Lb6,Emission Line,2922.6
1545,Ra,Mb,Emission Line,2949.0
561,Cd,Ln,Emission Line,2955.0
80,Ar,Ka2,Emission Line,2955.3
81,Ar,Ka1,Emission Line,2957.5
543,Ag,La2,Emission Line,2977.0
544,Ag,La1,Emission Line,2982.7
518,Pd,Lb1,Emission Line,2989.5
1598,Th,Ma,Emission Line,2989.6
1491,Rn,Mg,Emission Line,2997.0
456,Tc,Lg2,Emission Line,3000.7
502,Rh,"Lb2,15",Emission Line,3002.0
457,Tc,Lg3,Emission Line,3003.1
513,Pd,Lb4,Emission Line,3044.1
608,Sn,Ll,Emission Line,3044.3
1571,Ac,Mb,Emission Line,3051.0
1624,Pa,Ma,Emission Line,3071.0
514,Pd,Lb3,Emission Line,3071.7
523,Pd,Lb6,Emission Line,3085.9
1517,Fr,Mg,Emission Line,3086.0
583,In,Ln,Emission Line,3110.8
565,Cd,La2,Emission Line,3126.1
566,Cd,La1,Emission Line,3132.8
497,Rh,Lg1,Emission Line,3144.0
1597,Th,Mb,Emission Line,3148.6
