Element,Line,Type,Energy
I,La2,Escape Peak (Si),2226.2
Sb,Lb3,Escape Peak (Si),2231.6
I,La1,Escape Peak (Si),2237.7
S,Ka3,Emission Line,2241.1
Ga,Lb1,Sum Peak (2x),2249.0
Nb,Lb1,Emission Line,2260.0
Mo,La2,Emission Line,2288.9
Mo,La1,Emission Line,2292.1
Sc,Ka3,Escape Peak (Si),2294.0
S,Ka2,Emission Line,2308.4
S,Ka1,Emission Line,2309.5
Ca,Kb3,Escape Peak (Si),2313.1
Ca,Kb1,Escape Peak (Si),2313.1
Nb,Lb4,Emission Line,2321.9
Te,Lb1,Escape Peak (Si),2328.6
Nb,Lb3,Emission Line,2337.4
Te,Lb4,Escape Peak (Si),2368.2
Ge,La2,Sum Peak (2x),2374.4
Ge,La1,Sum Peak (2x),2375.6
Sc,Ka2,Escape Peak (Si),2388.4
Ga,Lb4,Sum Peak (2x),2391.0
Sc,Ka1,Escape Peak (Si),2393.3
Mo,Lb1,Emission Line,2393.9
Xe,La2,Escape Peak (Si),2397.0
Ga,Lb3,Sum Peak (2x),2398.0
Xe,La1,Escape Peak (Si),2409.6000000000004
Te,Lb3,Escape Peak (Si),2418.2
Tc,La2,Emission Line,2419.4
Tc,La1,Emission Line,2423.1
Mg,Ka3,Sum Peak (2x),2428.8
Ge,Lb1,Sum Peak (2x),2436.6
Mo,Lb4,Emission Line,2454.4
S,Kb3,Emission Line,2464.0
S,Kb1,Emission Line,2465.0
Mo,Lb3,Emission Line,2472.0
Mg,Ka2,Sum Peak (2x),2506.8
Mg,Ka1,Sum Peak (2x),2507.58
I,Lb1,Escape Peak (Si),2521.2
Tc,Lb1,Emission Line,2535.4
Cl,Ka3,Emission Line,2552.0
Ru,La2,Emission Line,2553.8
I,Lb4,Escape Peak (Si),2557.0
Ru,La1,Emission Line,2558.0
As,La2,Sum Peak (2x),2563.8
As,La1,Sum Peak (2x),2563.8
Cs,La2,Escape Peak (Si),2571.5
Ge,Lb4,Sum Peak (2x),2579.4
Cs,La1,Escape Peak (Si),2585.3999999999996
Ge,Lb3,Sum Peak (2x),2587.6
Tc,Lb4,Emission Line,2595.4
Mg,Kb3,Sum Peak (2x),2604.0
Mg,Kb1,Sum Peak (2x),2604.0
I,Lb3,Escape Peak (Si),2613.0
Cl,Ka2,Emission Line,2620.0
Cl,Ka1,Emission Line,2622.0
Tc,Lb3,Emission Line,2625.3
As,Lb1,Sum Peak (2x),2634.8
Ru,Lb1,Emission Line,2682.8
Rh,La2,Emission Line,2692.1
Rh,La1,Emission Line,2696.8
Ti,Ka3,Escape Peak (Si),2705.1000000000004
Xe,Lb1,Escape Peak (Si),2718.0
Ru,Lb4,Emission Line,2740.7
Xe,Lb4,Escape Peak (Si),2750.8999999999996
Ba,La2,Escape Peak (Si),2751.3
Se,La2,Sum Peak (2x),2756.8
Se,La1,Sum Peak (2x),2758.6
As,Lb4,Sum Peak (2x),2761.6
Ru,Lb3,Emission Line,2762.5
Sc,Kb1,Escape Peak (Si),2763.7
Sc,Kb3,Escape Peak (Si),2763.7
Ba,La1,Escape Peak (Si),2766.5
As,Lb3,Sum Peak (2x),2771.6
Ti,Ka2,Escape Peak (Si),2805.8
Cl,Kb3,Emission Line,2812.0
Cl,Kb1,Emission Line,2812.0
Ti,Ka1,Escape Peak (Si),2812.2
Xe,Lb3,Escape Peak (Si),2812.3999999999996
Pd,La2,Emission Line,2832.5
Rh,Lb1,Emission Line,2834.1
Se,Lb1,Sum Peak (2x),2837.6
Pd,La1,Emission Line,2837.8
Ar,Ka3,Emission Line,2879.6
Al,Ka3,Sum Peak (2x),2882.4
Rh,Lb4,Emission Line,2890.7
Rh,Lb3,Emission Line,2915.5
Cs,Lb1,Escape Peak (Si),2918.5
La,La2,Escape Peak (Si),2930.0
Cs,Lb4,Escape Peak (Si),2943.0
La,La1,Escape Peak (Si),2947.0
Ar,Ka2,Emission Line,2955.3
Ar,Ka1,Emission Line,2957.5
