Element;Line;Type;Energy
Se;L?3;Sum Peak (2x);2982.6
Ag;L?1;Emission Line;2982.7
Pd;L?1;Emission Line;2989.5
Cs;L?3;Escape Peak (Si);3011
Pd;L?4;Emission Line;3044.1
Br;L?1;Sum Peak (2x);3052
Pd;L?3;Emission Line;3071.7
Al;K?3;Sum Peak (2x);3114
Al;K?1;Sum Peak (2x);3114
Ce;L?2;Escape Peak (Si);3120.6
Cd;L?2;Emission Line;3126.1
Ba;L?1;Escape Peak (Si);3128.3
Cd;L?1;Emission Line;3132.8
V;K?3;Escape Peak (Si);3138.3
Ce;L?1;Escape Peak (Si);3139.2
Ag;L?1;Emission Line;3150
Ba;L?4;Escape Peak (Si);3152
Kr;L?2;Sum Peak (2x);3166.8
Kr;L?1;Sum Peak (2x);3169.2
Br;L?4;Sum Peak (2x);3186
Ar;K?3;Emission Line;3190
Ar;K?1;Emission Line;3190.2
Br;L?3;Sum Peak (2x);3200
Ag;L?4;Emission Line;3202.2
Ba;L?3;Escape Peak (Si);3226
K;K?3;Emission Line;3229.8
Ag;L?3;Emission Line;3233
Ti;K?1;Escape Peak (Si);3233.4
Ti;K?3;Escape Peak (Si);3233.4
V;K?2;Escape Peak (Si);3245.2
V;K?1;Escape Peak (Si);3252.9
Ti;K?5;Escape Peak (Si);3264
Kr;L?1;Sum Peak (2x);3271.8
In;L?2;Emission Line;3278.6
In;L?1;Emission Line;3286.1
K;K?2;Emission Line;3311.1
K;K?1;Emission Line;3313.8
Cd;L?1;Emission Line;3315.1
Pr;L?2;Escape Peak (Si);3315.7
Pr;L?1;Escape Peak (Si);3335.2
La;L?1;Escape Peak (Si);3338
La;L?4;Escape Peak (Si);3357
Cd;L?4;Emission Line;3365.4
Si;K?3;Sum Peak (2x);3378.6
Rb;L?2;Sum Peak (2x);3382
Rb;L?1;Sum Peak (2x);3384
Kr;L?4;Sum Peak (2x);3397.6
Cd;L?3;Emission Line;3399.6
Kr;L?3;Sum Peak (2x);3413.2
Sn;L?2;Emission Line;3435.8
La;L?3;Escape Peak (Si);3438
Sn;L?1;Emission Line;3444.1
Si;K?2;Sum Peak (2x);3478.4
Si;K?1;Sum Peak (2x);3479.6
In;L?1;Emission Line;3486.6
Rb;L?1;Sum Peak (2x);3502
Nd;L?2;Escape Peak (Si);3504.7
Nd;L?1;Escape Peak (Si);3527.6
In;L?4;Emission Line;3534.8
Ce;L?1;Escape Peak (Si);3561.6
In;L?3;Emission Line;3572.7
Ce;L?4;Escape Peak (Si);3574
K;K?3;Emission Line;3590.1
K;K?1;Emission Line;3590.1
Cr;K?3;Escape Peak (Si);3593
Sb;L?2;Emission Line;3594.5
Ca;K?3;Emission Line;3600.1
Sb;L?1;Emission Line;3603.8
Sr;L?2;Sum Peak (2x);3608
Sr;L?1;Sum Peak (2x);3611.6
Rb;L?4;Sum Peak (2x);3632.6
Rb;L?3;Sum Peak (2x);3651.8
Ce;L?3;Escape Peak (Si);3661
Sn;L?1;Emission Line;3662.8
Si;K?1;Sum Peak (2x);3674
Si;K?3;Sum Peak (2x);3674
Ca;K?2;Emission Line;3688.8
Ca;K?1;Emission Line;3692.3
Cr;K?2;Escape Peak (Si);3705.2
Pm;L?2;Escape Peak (Si);3707
Sn;L?4;Emission Line;3708.5
Cr;K?1;Escape Peak (Si);3714.9
V;K?3;Escape Peak (Si);3727.8
V;K?1;Escape Peak (Si);3727.8
Pm;L?1;Escape Peak (Si);3732
Sr;L?1;Sum Peak (2x);3742
Sn;L?3;Emission Line;3750.4
Te;L?2;Emission Line;3757.6
V;K?5;Escape Peak (Si);3763
Te;L?1;Emission Line;3768
Pr;L?1;Escape Peak (Si);3791.7
Pr;L?4;Escape Peak (Si);3798
Sb;L?1;Emission Line;3842.5
Y;L?2;Sum Peak (2x);3844.6
Y;L?1;Sum Peak (2x);3848.4
Sr;L?4;Sum Peak (2x);3871.4
Sb;L?4;Emission Line;3885.3
Sr;L?3;Sum Peak (2x);3892
Pr;L?3;Escape Peak (Si);3893
Sm;L?2;Escape Peak (Si);3905.1
P;K?3;Sum Peak (2x);3913
I;L?2;Emission Line;3926.2
Sb;L?3;Emission Line;3931.6
Sm;L?1;Escape Peak (Si);3932.6
I;L?1;Emission Line;3937.7
Sc;K?3;Emission Line;3994
Y;L?1;Sum Peak (2x);3996.6
Ca;K?3;Emission Line;4013.1
Ca;K?1;Emission Line;4013.1
Nd;L?1;Escape Peak (Si);4018.7
P;K?2;Sum Peak (2x);4019
P;K?1;Sum Peak (2x);4021
Nd;L?4;Escape Peak (Si);4023
Te;L?1;Emission Line;4028.6
Te;L?4;Emission Line;4068.2
Mn;K?3;Escape Peak (Si);4069.9
Zr;L?2;Sum Peak (2x);4083.8
Sc;K?2;Emission Line;4088.4
Zr;L?1;Sum Peak (2x);4088.4
Sc;K?1;Emission Line;4093.3
Xe;L?2;Emission Line;4097
Xe;L?1;Emission Line;4109.6
Te;L?3;Emission Line;4118.2
Eu;L?2;Escape Peak (Si);4118.4
Y;L?4;Sum Peak (2x);4124.8
Nd;L?3;Escape Peak (Si);4129
Y;L?3;Sum Peak (2x);4148.4
Eu;L?1;Escape Peak (Si);4149.5
Mn;K?2;Escape Peak (Si);4189.1
Mn;K?1;Escape Peak (Si);4200.3
I;L?1;Emission Line;4221.2
Cr;K?3;Escape Peak (Si);4246.8
Cr;K?1;Escape Peak (Si);4246.8
Zr;L?1;Sum Peak (2x);4251.8
Pm;L?4;Escape Peak (Si);4256.6
I;L?4;Emission Line;4257
Pm;L?1;Escape Peak (Si);4261
Cs;L?2;Emission Line;4271.5
P;K?3;Sum Peak (2x);4277
P;K?1;Sum Peak (2x);4279
Cs;L?1;Emission Line;4285.4
Cr;K?5;Escape Peak (Si);4287
I;L?3;Emission Line;4313
Gd;L?2;Escape Peak (Si);4321.1
Nb;L?2;Sum Peak (2x);4332
Nb;L?1;Sum Peak (2x);4337.4
Gd;L?1;Escape Peak (Si);4353.4
Pm;L?3;Escape Peak (Si);4371
Zr;L?4;Sum Peak (2x);4377
Zr;L?3;Sum Peak (2x);4404.4
Ti;K?3;Emission Line;4405.1
Xe;L?1;Emission Line;4418
Xe;L?4;Emission Line;4450.9
Ba;L?2;Emission Line;4451.3
Sc;K?3;Emission Line;4463.7
Sc;K?1;Emission Line;4463.7
Ba;L?1;Emission Line;4466.5
