Element,Line,Type,Energy
Fe,La1,Sum Peak (2x),1409.6
In,Ln,Escape Peak (Si),1410.8000000000002
Ge,Lg2,Emission Line,1411.6
Ge,Lg3,Emission Line,1411.6
Se,Lb1,Emission Line,1418.8
Se,Lb6,Emission Line,1421.9
Pr,Mz,Sum Peak (2x),1424.0
Cd,La2,Escape Peak (Si),1426.1
Re,Mz,Emission Line,1430.3
Cd,La1,Escape Peak (Si),1432.8000000000002
Fe,Lb1,Sum Peak (2x),1435.8
Kr,Ln,Emission Line,1438.1
Al,Ka3,Emission Line,1441.2
Mn,Lb4,Sum Peak (2x),1443.8
Mn,Lb3,Sum Peak (2x),1443.8
Rh,Lg1,Escape Peak (Si),1444.0
Er,Mb,Emission Line,1448.3
Th,Mb,Escape Peak (Si),1448.6
Ag,Lb1,Escape Peak (Si),1450.0
Cs,Ma,Sum Peak (2x),1453.2
Tb,Mg,Emission Line,1460.5
Tm,Ma,Emission Line,1463.4
U,Ma,Escape Peak (Si),1463.8000000000002
Sb,Mg,Sum Peak (2x),1468.6
Pd,"Lb2,15",Escape Peak (Si),1471.0
Rb,Ll,Emission Line,1477.3
Ru,Lg2,Escape Peak (Si),1477.6999999999998
Br,La2,Emission Line,1480.0
Ru,Lg3,Escape Peak (Si),1480.8000000000002
Cs,Mb,Sum Peak (2x),1481.0
Br,La1,Emission Line,1481.0
Os,Mz,Emission Line,1481.9
Ni,Ll,Sum Peak (2x),1483.8
Se,Lb4,Emission Line,1485.5
Al,Ka2,Emission Line,1486.1
Al,Ka1,Emission Line,1486.5
Ra,Mg,Escape Peak (Si),1489.0
Ar,Kb3,Escape Peak (Si),1490.0
Ar,Kb1,Escape Peak (Si),1490.1999999999998
Se,Lb3,Emission Line,1491.3
Sb,Ll,Escape Peak (Si),1492.0
Ag,Lb4,Escape Peak (Si),1502.1999999999998
Tm,Mb,Emission Line,1510.4
Ni,Ln,Sum Peak (2x),1518.4
Nd,Mz,Sum Peak (2x),1520.0
Dy,Mg,Emission Line,1522.4
Br,Lb6,Emission Line,1523.0
As,Lg3,Emission Line,1524.0
As,Lg2,Emission Line,1524.0
Yb,Ma,Emission Line,1525.5
Br,Lb1,Emission Line,1526.0
K,Ka3,Escape Peak (Si),1529.8000000000002
Ag,Lb3,Escape Peak (Si),1533.0
Rb,Ln,Emission Line,1537.3
Ir,Mz,Emission Line,1538.2
Pa,Mb,Escape Peak (Si),1540.0
Np,Ma,Escape Peak (Si),1550.0
Co,La2,Sum Peak (2x),1550.2
Co,La1,Sum Peak (2x),1550.2
Ag,Lb6,Escape Peak (Si),1554.0
Al,Kb3,Emission Line,1557.0
Al,Kb1,Emission Line,1557.0
Te,Mg,Sum Peak (2x),1560.8
Ba,Ma,Sum Peak (2x),1561.0
Ac,Mg,Escape Peak (Si),1570.0
Sn,Ln,Escape Peak (Si),1571.3000000000002
Yb,Mb,Emission Line,1573.5
